Transaction,Date,Student,Course,Paid,Tax,Total Tax
"22C001",2022-01-02 00:00:00.000,"22S001","22C15",1000,180,180
"22C002",2022-01-02 00:00:00.000,"22S001","22C12",8000,1440,1440
"22C003",2022-01-09 00:00:00.000,"22S002","22C02",3000,540,540
"22C004",2022-01-09 00:00:00.000,"22S002","22C09",7000,1260,1260
"22C005",2022-01-09 00:00:00.000,"22S002","22C07",5000,900,900
"22C006",2022-01-15 00:00:00.000,"22S003","22C08",8000,1440,1440
"22C007",2022-01-16 00:00:00.000,"22S004","22C04",6000,1080,1080
"22C008",2022-01-16 00:00:00.000,"22S004","22C12",4000,720,720
"22C009",2022-01-17 00:00:00.000,"22S006","22C02",9000,1620,1620
"22C010",2022-01-17 00:00:00.000,"22S005","22C13",3000,540,540
"22C011",2022-01-24 00:00:00.000,"22S007","22C09",7000,1260,1260
"22C012",2022-01-25 00:00:00.000,"22S008","22C08",8000,1440,1440
"22C013",2022-01-25 00:00:00.000,"22S008","22C13",6000,1080,1080
"22C014",2022-01-27 00:00:00.000,"22S009","22C10",9000,1620,1620
"22C015",2022-01-27 00:00:00.000,"22S009","22C03",4000,720,720
"22C016",2022-01-28 00:00:00.000,"22S010","22C12",8000,1440,1440
"22C017",2022-01-29 00:00:00.000,"22S011","22C09",7000,1260,1260
"22C018",2022-01-29 00:00:00.000,"22S011","22C04",18000,3240,3240
"22C019",2022-01-29 00:00:00.000,"22S011","22C14",15000,2700,2700
"22C020",2022-02-01 00:00:00.000,"22S001","22C15",9000,1620,1620
"22C021",2022-02-12 00:00:00.000,"22S012","22C04",18000,3240,3240
"22C022",2022-02-12 00:00:00.000,"22S012","22C12",3000,540,540
"22C023",2022-02-13 00:00:00.000,"22S013","22C04",15000,2700,2700
"22C024",2022-02-15 00:00:00.000,"22S014","22C13",4000,720,720
"22C025",2022-02-15 00:00:00.000,"22S014","22C04",16000,2880,2880
"22C026",2022-02-15 00:00:00.000,"22S014","22C15",5000,900,900
"22C027",2022-02-16 00:00:00.000,"22S015","22C06",7500,1350,1350
"22C028",2022-02-16 00:00:00.000,"22S015","22C09",7000,1260,1260
"22C029",2022-02-17 00:00:00.000,"22S016","22C03",1000,180,180
"22C030",2022-02-17 00:00:00.000,"22S016","22C14",4000,720,720
"22C031",2022-02-17 00:00:00.000,"22S016","22C04",9000,1620,1620
"22C032",2022-02-20 00:00:00.000,"22S002","22C02",6000,1080,1080
"22C033",2022-02-20 00:00:00.000,"22S002","22C07",1000,180,180
"22C034",2022-02-20 00:00:00.000,"22S005","22C13",3000,540,540
"22C035",2022-02-21 00:00:00.000,"22S004","22C04",12000,2160,2160
"22C036",2022-02-21 00:00:00.000,"22S004","22C12",4000,720,720
"22C037",2022-02-28 00:00:00.000,"22S017","22C10",3000,540,540
"22C038",2022-02-28 00:00:00.000,"22S017","22C09",7000,1260,1260
"22C039",2022-02-28 00:00:00.000,"22S017","22C03",5000,900,900
"22C040",2022-03-01 00:00:00.000,"22S018","22C06",6000,1080,1080
